"V1"	"V2"	"V3"	"V4"
"Poa_tri"	"Ely_rep"	"Ant_syl"	"9.29009640666082"
"Poa_tri"	"Ely_rep"	"Her_sph"	"10.2541630148992"
"Poa_tri"	"Ely_rep"	"Gal_mol"	"7.88781770376862"
"Poa_tri"	"Ely_rep"	"Hol_lan"	"9.37773882559159"
"Poa_tri"	"Ely_rep"	"Hel_pub"	"1.05170902716915"
"Poa_tri"	"Ely_rep"	"Car_hir"	"6.74846625766871"
"Poa_tri"	"Ely_rep"	"Bra_pin"	"0.0876424189307625"
"Poa_tri"	"Ely_rep"	"Pha_aru"	"4.03155127081507"
"Poa_tri"	"Tri_pra"	"Ran_rep"	"14.4609991235758"
"Poa_tri"	"Tri_pra"	"Bro_ere"	"2.54163014899211"
"Poa_tri"	"Tri_pra"	"Ran_acr"	"23.1375985977213"
"Poa_tri"	"Tri_pra"	"Bro_hor"	"21.034180543383"
"Poa_tri"	"Tri_pra"	"Pla_lan"	"31.5512708150745"
"Poa_tri"	"Tri_pra"	"Ant_syl"	"20.9465381244522"
"Poa_tri"	"Tri_pra"	"Her_sph"	"17.8790534618755"
"Poa_tri"	"Tri_pra"	"Gal_mol"	"22.6117440841367"
"Poa_tri"	"Tri_pra"	"Hol_lan"	"8.15074496056091"
"Poa_tri"	"Tri_pra"	"Hel_pub"	"8.50131463628396"
"Poa_tri"	"Tri_pra"	"Car_hir"	"0.964066608238387"
"Poa_tri"	"Tri_pra"	"Bra_pin"	"1.13935144609991"
"Poa_tri"	"Ran_rep"	"Bro_ere"	"0.0876424189307625"
"Poa_tri"	"Ran_rep"	"Ran_acr"	"10.4294478527607"
"Poa_tri"	"Ran_rep"	"Bro_hor"	"10.4294478527607"
"Poa_tri"	"Ran_rep"	"Pla_lan"	"13.5845749342682"
"Poa_tri"	"Ran_rep"	"Ant_syl"	"11.6564417177914"
"Poa_tri"	"Ran_rep"	"Her_sph"	"15.0744960560911"
"Poa_tri"	"Ran_rep"	"Gal_mol"	"9.20245398773006"
"Poa_tri"	"Ran_rep"	"Hol_lan"	"11.8317265556529"
"Poa_tri"	"Ran_rep"	"Hel_pub"	"1.05170902716915"
"Poa_tri"	"Ran_rep"	"Car_hir"	"10.9553023663453"
"Poa_tri"	"Ran_rep"	"Bra_pin"	"0.262927256792287"
"Poa_tri"	"Ran_rep"	"Pha_aru"	"5.78439964943032"
"Poa_tri"	"Bro_ere"	"Ran_acr"	"0.876424189307625"
"Poa_tri"	"Bro_ere"	"Bro_hor"	"1.13935144609991"
"Poa_tri"	"Bro_ere"	"Pla_lan"	"2.54163014899211"
"Poa_tri"	"Bro_ere"	"Ant_syl"	"0.788781770376862"
"Poa_tri"	"Bro_ere"	"Her_sph"	"0.438212094653812"
"Poa_tri"	"Bro_ere"	"Gal_mol"	"1.84049079754601"
"Poa_tri"	"Bro_ere"	"Hol_lan"	"0.262927256792287"
"Poa_tri"	"Bro_ere"	"Hel_pub"	"2.1034180543383"
"Poa_tri"	"Bro_ere"	"Bra_pin"	"0.438212094653812"
"Poa_tri"	"Ran_acr"	"Bro_hor"	"12.2699386503067"
"Poa_tri"	"Ran_acr"	"Pla_lan"	"20.7712532865907"
"Poa_tri"	"Ran_acr"	"Ant_syl"	"18.2296231375986"
"Poa_tri"	"Ran_acr"	"Her_sph"	"17.2655565293602"
"Poa_tri"	"Ran_acr"	"Gal_mol"	"19.0184049079755"
"Poa_tri"	"Ran_acr"	"Hol_lan"	"7.27432077125329"
"Poa_tri"	"Ran_acr"	"Hel_pub"	"7.97546012269939"
"Poa_tri"	"Ran_acr"	"Car_hir"	"1.48992112182296"
"Poa_tri"	"Ran_acr"	"Bra_pin"	"1.05170902716915"
