"combos","SND","SFD","feasibility","LUI"
"Her_sph.Hel_pub",0.957705172468916,39.3742006983058,1,0.75
"Her_sph.Bra_pin",0.948056200158184,35.3164880987438,1,0.75
"Hel_pub.Bra_pin",0.964073758682465,6.66870223520747,1,0.75
"Poa_tri.Poa_pra",1.08129275379293,27.6979706416841,1,1
"Poa_tri.Alo_pra",1.03612035923308,7.75927939149117,1,1
"Poa_tri.Dac_glo",1.04120839803057,31.9346919187567,1,1
"Poa_tri.Tri_rep",1.0079723055011,44.1988960367603,1,1
"Poa_tri.Arr_ela",0.877386504699203,17.3843972401698,1,1
"Poa_tri.Fes_rub",0.862406629723648,25.0022410664708,1,1
"Poa_tri.Fes_pra",0.978860071948178,40.4985450251202,1,1
"Poa_tri.Tri_pra",0.983682865207667,7.0453231575383,1,1
"Poa_tri.Ran_rep",1.11684173666656,38.2240476445709,1,1
"Poa_tri.Bro_ere",0.925332345984782,1.12071872911342,1,1
"Poa_tri.Ran_acr",1.19355769559108,44.4560253926208,1,1
"Poa_tri.Bro_hor",0.923078052907882,32.0769552778699,1,1
"Poa_tri.Pla_lan",0.858664745543674,21.2512448012529,1,1
"Poa_tri.Ach_mil",0.858937409068994,38.7368305386252,0,1
"Poa_tri.Ant_syl",0.745380358522461,18.6534081689585,1,1
"Poa_tri.Her_sph",1.43706509634443,63.6914838603841,1,1
"Poa_tri.Hel_pub",0.788451833746009,1.94973279603042,1,1
"Poa_tri.Bra_pin",0.851788319265196,15.1753698632271,1,1
"Poa_pra.Alo_pra",1.00675170997962,24.3646491929103,1,1
"Poa_pra.Dac_glo",0.98304399864727,3.10782339918609,1,1
"Poa_pra.Tri_rep",1.07301117136562,39.4235801662996,1,1
"Poa_pra.Arr_ela",1.05475464938675,9.76531466588025,1,1
"Poa_pra.Fes_rub",1.13650252331956,3.14008539615265,1,1
"Poa_pra.Fes_pra",1.14958933861671,39.3682442138012,1,1
"Poa_pra.Tri_pra",1.11337510820095,22.9611588322622,1,1
"Poa_pra.Ran_rep",1.0653239570994,21.0521194179787,1,1
"Poa_pra.Bro_ere",0.965439822465278,28.8505544414621,1,1
"Poa_pra.Ran_acr",0.901545613545075,12.865711927059,1,1
"Poa_pra.Bro_hor",1.02925863357464,11.689919304839,1,1
"Poa_pra.Pla_lan",1.19806302709302,2.07816455793537,1,1
"Poa_pra.Ach_mil",1.10868051742501,46.0577370482131,1,1
"Poa_pra.Ant_syl",0.915425209956363,3.06209659560129,1,1
"Poa_pra.Her_sph",0.792513165192066,35.6476098309773,1,1
"Poa_pra.Hel_pub",0.853178919156854,28.2614112922582,1,1
"Poa_pra.Bra_pin",1.04853932600799,13.2653887479433,1,1
"Alo_pra.Dac_glo",1.04539451936995,27.5255806268383,1,1
"Alo_pra.Tri_rep",0.984683752256453,43.3878234184578,1,1
"Alo_pra.Arr_ela",1.06901377495676,22.1497971458649,1,1
"Alo_pra.Fes_rub",0.944597665823234,23.8459573450228,1,1
"Alo_pra.Fes_pra",0.985372111621431,41.4685099294792,1,1
"Alo_pra.Tri_pra",0.929173344531255,4.41283784593846,1,1
"Alo_pra.Ran_rep",1.09289214290584,38.8382801356163,1,1
"Alo_pra.Bro_ere",0.910140252355802,6.84468436709284,1,1
"Alo_pra.Ran_acr",1.1650713710271,41.6712474257389,1,1
"Alo_pra.Bro_hor",1.03414773600088,33.9195216532342,1,1
"Alo_pra.Pla_lan",1.0592056770291,25.6898978987395,1,1
"Alo_pra.Ach_mil",1.01783757198814,44.151462000126,1,1
"Alo_pra.Ant_syl",0.952870766335118,25.9991271610903,1,1
"Alo_pra.Her_sph",0.538689898571171,24.2348255590459,1,1
"Alo_pra.Hel_pub",0.825657907397363,1.77408257909254,1,1
"Alo_pra.Bra_pin",0.831717314125303,8.74771866694212,1,1
"Dac_glo.Tri_rep",1.14069335039056,39.7427429307165,1,1
"Dac_glo.Arr_ela",1.08113649605726,4.03888238995113,1,1
"Dac_glo.Fes_rub",0.897717838557156,4.77978341627645,1,1
"Dac_glo.Fes_pra",1.12734805065906,34.7285033329992,1,1
"Dac_glo.Tri_pra",0.964142381318032,29.5169351142555,1,1
"Dac_glo.Ran_rep",0.994014977610206,22.7261131539321,1,1
"Dac_glo.Bro_ere",0.906935769434433,26.4281129231453,1,1
"Dac_glo.Ran_acr",0.90769426444934,15.1455871829082,1,1
"Dac_glo.Bro_hor",1.1775273015911,20.9849525078151,1,1
"Dac_glo.Pla_lan",0.816707630107875,12.5693887720621,1,1
"Dac_glo.Ach_mil",1.04884969955507,38.7304514515631,1,1
"Dac_glo.Ant_syl",0.90543013474714,1.58691830370798,1,1
"Dac_glo.Her_sph",1.18590891539877,52.0602651481393,1,1
"Dac_glo.Hel_pub",1.02077066479633,18.4156419421999,1,1
"Dac_glo.Bra_pin",0.891967018866153,16.4393446464978,1,1
"Tri_rep.Arr_ela",0.989213605188334,40.5825769317633,1,1
"Tri_rep.Fes_rub",0.942775560271826,36.7119193329256,1,1
"Tri_rep.Fes_pra",1.09832696388319,3.62968877267871,1,1
"Tri_rep.Tri_pra",0.929111937082948,43.9491218222192,0,1
"Tri_rep.Ran_rep",1.05642783038147,31.8253624762564,1,1
"Tri_rep.Bro_ere",0.954757394820362,41.3251125049941,1,1
"Tri_rep.Ran_acr",1.14139392650509,27.7293400494659,1,1
"Tri_rep.Bro_hor",0.982908583279945,37.2842335232517,1,1
"Tri_rep.Pla_lan",1.17464212925529,32.8686581834024,1,1
"Tri_rep.Ach_mil",1.22140430440814,27.4526521788052,1,1
"Tri_rep.Ant_syl",1.09234688464145,34.524741152653,1,1
"Tri_rep.Her_sph",1.07530780137388,41.0062766445301,1,1
"Tri_rep.Hel_pub",0.872419323529484,45.5729330635227,0,1
"Tri_rep.Bra_pin",1.06720567952787,36.3576539969886,1,1
"Arr_ela.Fes_rub",1.07143201994359,6.64874910939608,1,1
"Arr_ela.Fes_pra",0.966862662668577,41.2608794501055,1,1
"Arr_ela.Tri_pra",0.883382037096883,29.9806209035095,1,1
"Arr_ela.Ran_rep",0.943556217988507,24.7612428020818,1,1
"Arr_ela.Bro_ere",0.936921768740505,25.1254188834713,1,1
"Arr_ela.Ran_acr",1.1555843519163,32.4120882899611,1,1
"Arr_ela.Bro_hor",0.94822410041773,16.5048638445205,1,1
"Arr_ela.Pla_lan",1.05201067598199,5.22040287691283,1,1
"Arr_ela.Ach_mil",1.12789342018835,48.2686166582343,1,1
"Arr_ela.Ant_syl",1.28381605703536,21.6877626042507,1,1
"Arr_ela.Her_sph",1.05512682063209,45.4348831883015,1,1
"Arr_ela.Hel_pub",0.805003147137423,22.943495345185,1,1
"Arr_ela.Bra_pin",1.04076806880174,3.25981916377896,1,1
"Fes_rub.Fes_pra",1.02299327242597,40.4851179491816,1,1
"Fes_rub.Tri_pra",0.942207033030141,22.1015140698748,1,1
"Fes_rub.Ran_rep",1.00161715105275,21.9424156474014,1,1
"Fes_rub.Bro_ere",0.897585342154129,27.6607781582174,1,1
