"species","LUI","observed","presence"
"Tri_fla",2.75,17,1
"Ely_rep",2.75,16,1
"Tri_pra",2.75,20,1
"Ran_rep",2.75,10,1
"Bro_ere",2.75,0,0
"Ran_acr",2.75,11,1
"Bro_hor",2.75,21,1
"Pla_lan",2.75,24,1
"Ach_mil",2.75,16,1
"Ant_syl",2.75,16,1
"Her_sph",2.75,14,1
"Gal_mol",2.75,13,1
"Hol_lan",2.75,4,1
"Hel_pub",2.75,1,1
"Car_hir",2.75,2,1
"Bra_pin",2.75,0,0
"Pha_aru",2.75,0,0
"Ant_odo",2.75,2,1
"Ver_cha",2.75,17,1
"Fes_ovi",2.75,1,1
"Rum_ace",2.75,10,1
"Des_ces",2.75,5,1
"Phl_pra",2.75,22,1
"Agr_sto",2.75,5,1
"Cyn_cri",2.75,2,1
"Cir_ole",2.75,1,1
"Cre_bie",2.75,15,1
"Cer_hol",2.75,29,1
"Pla_med",2.75,2,1
"Thy_pul",2.75,0,0
"Urt_dio",2.75,2,1
"Lol_mul",2.75,2,1
"Cir_arv",2.75,6,1
"Ran_bul",2.75,5,1
"Tri_dub",2.75,3,1
"Lot_cor",2.75,4,1
"Car_car",2.75,15,1
"Leo_his",2.75,1,1
"Vic_sep",2.75,10,1
"Med_lup",2.75,5,1
"Poa_tri",3,17,1
"Poa_pra",3,21,1
"Alo_pra",3,17,1
"Dac_glo",3,22,1
"Tri_rep",3,20,1
"Tar_sp",3,22,1
"Lol_per",3,19,1
"Arr_ela",3,6,1
"Fes_rub",3,7,1
"Fes_pra",3,17,1
"Tri_fla",3,9,1
"Ely_rep",3,16,1
"Tri_pra",3,12,1
"Ran_rep",3,7,1
"Bro_ere",3,1,1
"Ran_acr",3,2,1
"Bro_hor",3,12,1
"Pla_lan",3,17,1
"Ach_mil",3,12,1
"Ant_syl",3,5,1
"Her_sph",3,4,1
"Gal_mol",3,5,1
"Hol_lan",3,0,0
"Hel_pub",3,0,0
"Car_hir",3,0,0
"Bra_pin",3,0,0
"Pha_aru",3,0,0
"Ant_odo",3,0,0
"Ver_cha",3,7,1
"Fes_ovi",3,0,0
"Rum_ace",3,4,1
"Des_ces",3,3,1
"Phl_pra",3,17,1
"Agr_sto",3,3,1
"Cyn_cri",3,0,0
"Cir_ole",3,0,0
"Cre_bie",3,7,1
"Cer_hol",3,18,1
"Pla_med",3,3,1
"Thy_pul",3,0,0
"Urt_dio",3,0,0
"Lol_mul",3,2,1
"Cir_arv",3,8,1
"Ran_bul",3,8,1
"Tri_dub",3,2,1
"Lot_cor",3,5,1
"Car_car",3,12,1
"Leo_his",3,0,0
"Vic_sep",3,1,1
"Med_lup",3,1,1
