"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Tri_pra.Ant_syl.Hel_pub",0.586395619951531,29.5629976487944,0.581,-0.028,0,0.666666666666667,0.5
"Tri_pra.Ant_syl.Bra_pin",0.797209656387583,15.7550040509837,0.78,-0.0339999999999999,1,1,0.5
"Tri_pra.Her_sph.Hel_pub",0.614174757069038,29.5709738511744,0.592,-0.0930000000000001,0,0.666666666666667,0.5
"Tri_pra.Her_sph.Bra_pin",0.679584023314538,22.5960529791161,0.676,-0.0679999999999999,1,1,0.5
"Tri_pra.Hel_pub.Bra_pin",0.764716300859269,8.3918890960773,0.687,-0.032,1,1,0.5
"Ran_rep.Bro_ere.Pla_lan",0.878821238678826,46.9683464289757,0.833,0.029,0,0.666666666666667,0.5
"Ran_rep.Bro_ere.Ach_mil",0.753762768065062,45.9405472063536,0.765,-0.038,1,1,0.5
"Ran_rep.Bro_ere.Ant_syl",0.765894724657694,39.4158509018046,0.762,-0.044,1,1,0.5
"Ran_rep.Bro_ere.Her_sph",0.752145945356583,32.2353488401405,0.636,-0.0429999999999999,1,1,0.5
"Ran_rep.Bro_ere.Hel_pub",0.176419454493184,29.2343691546267,0.166,-0.015,0,0.333333333333333,0.5
"Ran_rep.Bro_ere.Bra_pin",1.14455983034533,48.1696216102545,0.874,0.035,1,1,0.5
"Ran_rep.Ran_acr.Pla_lan",0.82751232622134,37.8215871776441,0.787,-0.01,0,0.666666666666667,0.5
"Ran_rep.Ran_acr.Ach_mil",0.939812576280433,55.7237451964953,0.843,-0.012,0,0.666666666666667,0.5
"Ran_rep.Ran_acr.Ant_syl",0.850309772568059,34.9413216931724,0.775,-0.0159999999999999,0,1,0.5
"Ran_rep.Ran_acr.Her_sph",0.995539105686542,30.6273229064253,0.823,0.043,1,1,0.5
"Ran_rep.Ran_acr.Hel_pub",0.836987594775245,42.2374543937552,0.734,-0.051,0,0.666666666666667,0.5
"Ran_rep.Ran_acr.Bra_pin",0.835125767097769,37.3273093052952,0.83,-0.026,0,1,0.5
"Ran_rep.Pla_lan.Ach_mil",0.809652540433962,50.2261057009957,0.794,-0.0219999999999999,0,0.666666666666667,0.5
"Ran_rep.Pla_lan.Ant_syl",0.819972879231136,36.4912405337086,0.797,-0.0439999999999999,0,0.666666666666667,0.5
"Ran_rep.Pla_lan.Her_sph",1.03429169404849,29.4324633940822,0.843,0.0870000000000001,1,0.666666666666667,0.5
"Ran_rep.Pla_lan.Hel_pub",0.741719811654095,48.512035680519,0.668,-0.013,0,0.333333333333333,0.5
"Ran_rep.Pla_lan.Bra_pin",0.54498518649285,35.876736892866,0.547,-0.003,0,0.666666666666667,0.5
"Ran_rep.Ach_mil.Ant_syl",0.866033136200518,48.2651914264463,0.844,-0.042,1,1,0.5
"Ran_rep.Ach_mil.Her_sph",1.09119916904659,42.0268693604617,0.903,0.0489999999999999,1,1,0.5
"Ran_rep.Ach_mil.Hel_pub",0.702509523347245,48.2679704537835,0.693,-0.0650000000000001,0,0.666666666666667,0.5
"Ran_rep.Ach_mil.Bra_pin",0.863186011604933,50.8306636579186,0.847,-0.037,1,1,0.5
"Ran_rep.Ant_syl.Her_sph",1.20886013684008,39.5081505543079,0.858,0.056,1,1,0.5
"Ran_rep.Ant_syl.Hel_pub",0.559081524277884,45.6366347898385,0.551,-0.0289999999999999,0,0.333333333333333,0.5
"Ran_rep.Ant_syl.Bra_pin",0.810839478408766,35.4556595351309,0.817,-0.043,0,1,0.5
"Ran_rep.Her_sph.Hel_pub",0.845696251444503,42.9083313328596,0.689,0.025,0,0.333333333333333,0.5
"Ran_rep.Hel_pub.Bra_pin",0.817642736748865,36.4263443920031,0.779,0.004,0,0.666666666666667,0.5
"Bro_ere.Ran_acr.Pla_lan",0.934559591156796,35.4276307145534,0.862,0.037,1,1,0.5
"Bro_ere.Ran_acr.Ach_mil",0.816223907006168,35.9437188466311,0.714,-0.025,0,0.666666666666667,0.5
"Bro_ere.Ran_acr.Ant_syl",0.80148342336271,28.2604696724231,0.723,-0.035,1,1,0.5
"Bro_ere.Ran_acr.Her_sph",0.605468473473285,29.5765306070397,0.564,-0.03,1,1,0.5
"Bro_ere.Ran_acr.Hel_pub",0.193691082272412,18.5337131447926,0.165,-0.013,0,0.666666666666667,0.5
"Bro_ere.Ran_acr.Bra_pin",1.13056044379844,38.7820540655082,0.835,0.033,1,1,0.5
"Bro_ere.Pla_lan.Ach_mil",0.812124123111241,41.8503065164076,0.806,0.0219999999999999,1,1,0.5
"Bro_ere.Pla_lan.Ant_syl",0.880645644080433,33.2231063286256,0.856,0.019,1,1,0.5
"Bro_ere.Pla_lan.Her_sph",0.706603615036812,32.6606113512163,0.674,0.0179999999999999,1,1,0.5
"Bro_ere.Pla_lan.Hel_pub",0.21363515218026,25.1031192747522,0.182,0.017,0,0.666666666666667,0.5
"Bro_ere.Pla_lan.Bra_pin",0.772690372001613,46.8003344408874,0.615,-0.00700000000000001,1,1,0.5
"Bro_ere.Ach_mil.Ant_syl",0.716626228868573,34.2933009549206,0.689,-0.0960000000000001,1,1,0.5
"Bro_ere.Ach_mil.Her_sph",0.564315083374115,34.7610319300971,0.538,-0.097,1,1,0.5
"Bro_ere.Ach_mil.Hel_pub",0.151254337478153,25.3961213142075,0.124,-0.034,0,0.666666666666667,0.5
"Bro_ere.Ach_mil.Bra_pin",1.07697243077484,43.4498001453197,0.792,0.118,0,1,0.5
"Bro_ere.Ant_syl.Her_sph",0.662780798179431,26.1415174071425,0.558,-0.049,1,1,0.5
"Bro_ere.Ant_syl.Hel_pub",0.152738730712629,23.5785319377623,0.147,-0.02,0,0.333333333333333,0.5
"Bro_ere.Ant_syl.Bra_pin",1.05726263990552,36.0561523077381,0.789,0.0589999999999999,1,1,0.5
"Bro_ere.Her_sph.Hel_pub",0.128157686697023,24.3882327021136,0.097,-0.044,0,0.333333333333333,0.5
"Bro_ere.Her_sph.Bra_pin",0.90146126432621,33.665727868338,0.635,0.135,1,1,0.5
"Bro_ere.Hel_pub.Bra_pin",0.331972744610603,8.27135080214641,0.118,0.115,1,0.666666666666667,0.5
"Ran_acr.Pla_lan.Ach_mil",1.01338021568136,39.7437602954279,0.887,-0.034,0,0.666666666666667,0.5
"Ran_acr.Pla_lan.Ant_syl",0.99233067829551,11.2559334734053,0.872,-0.014,1,1,0.5
"Ran_acr.Pla_lan.Her_sph",0.892348384463187,19.8828257986557,0.853,-0.022,1,1,0.5
"Ran_acr.Pla_lan.Hel_pub",1.02748170962299,32.9492142265343,0.811,-0.00600000000000001,1,1,0.5
"Ran_acr.Pla_lan.Bra_pin",0.606152066872206,20.3144864029628,0.568,-0.024,1,1,0.5
"Ran_acr.Ach_mil.Ant_syl",1.07171051001734,36.3977857924066,0.849,-0.03,1,0.666666666666667,0.5
"Ran_acr.Ach_mil.Her_sph",0.975673824872315,43.2513395255686,0.846,-0.035,0,0.666666666666667,0.5
"Ran_acr.Ach_mil.Hel_pub",0.986900968595576,35.1605980400901,0.802,-0.0399999999999999,0,0.666666666666667,0.5
"Ran_acr.Ach_mil.Bra_pin",1.02179058308486,37.8013773689505,0.921,-0.004,0,0.666666666666667,0.5
"Ran_acr.Ant_syl.Her_sph",1.04679449488103,27.1410953253741,0.799,0.014,1,1,0.5
"Ran_acr.Ant_syl.Hel_pub",0.717393802849948,34.3860951341174,0.6,-0.0590000000000001,0,0.666666666666667,0.5
"Ran_acr.Ant_syl.Bra_pin",0.91745163920916,16.292122409131,0.863,-0.015,1,1,0.5
"Ran_acr.Her_sph.Hel_pub",0.841681796246056,36.5753905150131,0.743,-0.049,0,0.666666666666667,0.5
"Ran_acr.Hel_pub.Bra_pin",1.07551689380179,13.3015828257654,0.843,-0.012,1,1,0.5
"Pla_lan.Ach_mil.Ant_syl",0.909038335818153,31.2241209800829,0.881,-0.011,1,1,0.5
