"Plot"	"Year"	"LUI"	"rich_full"
"SEG44"	"2010"	0.9	21
"SEG45"	"2010"	1.31	20
"SEG46"	"2010"	2.09	20
"SEG47"	"2010"	2.34	20
"SEG48"	"2010"	1.86	19
"SEG49"	"2010"	1.78	32
"SEG50"	"2010"	1.19	25
"AEG01"	"2011"	1.78	27
"AEG02"	"2011"	3.11	15
"AEG03"	"2011"	1.67	26
"AEG04"	"2011"	2.19	23
"AEG05"	"2011"	2.25	20
"AEG06"	"2011"	1.78	30
"AEG07"	"2011"	0.44	38
"AEG08"	"2011"	1.2	38
"AEG09"	"2011"	0.73	36
"AEG10"	"2011"	0.97	39
"AEG11"	"2011"	2.39	12
"AEG12"	"2011"	2.28	26
"AEG13"	"2011"	2.28	23
"AEG14"	"2011"	2.23	20
"AEG15"	"2011"	2.33	23
"AEG16"	"2011"	1.54	24
"AEG17"	"2011"	1.67	32
"AEG18"	"2011"	2.23	19
"AEG19"	"2011"	1.77	22
"AEG20"	"2011"	1.04	22
"AEG21"	"2011"	2.97	23
"AEG22"	"2011"	1.08	40
"AEG23"	"2011"	1.67	27
"AEG24"	"2011"	2.24	23
"AEG25"	"2011"	0.57	42
"AEG26"	"2011"	1.49	40
"AEG27"	"2011"	0.93	39
"AEG28"	"2011"	0.86	53
"AEG29"	"2011"	1.61	39
"AEG30"	"2011"	1.56	32
"AEG31"	"2011"	1.39	39
"AEG32"	"2011"	0.67	35
"AEG33"	"2011"	1.08	37
"AEG34"	"2011"	1.55	26
"AEG35"	"2011"	1.65	24
"AEG36"	"2011"	1.65	20
"AEG37"	"2011"	2.02	25
"AEG38"	"2011"	1.72	26
"AEG39"	"2011"	2.48	16
"AEG40"	"2011"	2.22	28
"AEG41"	"2011"	2.76	22
"AEG42"	"2011"	2.07	22
"AEG43"	"2011"	1.18	24
"AEG44"	"2011"	1.16	27
"AEG45"	"2011"	1.67	19
"AEG46"	"2011"	1.4	26
"AEG47"	"2011"	0.72	39
"AEG48"	"2011"	0.64	36
"AEG49"	"2011"	1.08	34
"AEG50"	"2011"	1.98	17
"HEG01"	"2011"	2.85	12
"HEG02"	"2011"	2.63	17
