"Plot"	"Year"	"LUI"	"rich_26spp"
"AEG19"	"2010"	1.57	16
"AEG20"	"2010"	1.62	13
"AEG21"	"2010"	3.23	14
"AEG22"	"2010"	2.06	12
"AEG23"	"2010"	0.99	16
"AEG24"	"2010"	2.12	12
"AEG25"	"2010"	1.34	11
"AEG26"	"2010"	1.62	5
"AEG27"	"2010"	1.07	7
"AEG28"	"2010"	0.74	14
"AEG29"	"2010"	1.42	17
"AEG30"	"2010"	2.36	11
"AEG31"	"2010"	1.83	15
"AEG32"	"2010"	0.67	14
"AEG33"	"2010"	1.18	13
"AEG34"	"2010"	0.91	15
"AEG35"	"2010"	1.79	18
"AEG36"	"2010"	2.19	19
"AEG37"	"2010"	1.71	13
"AEG38"	"2010"	1.4	12
"AEG39"	"2010"	1.71	12
"AEG40"	"2010"	2.06	14
"AEG41"	"2010"	2.34	15
"AEG42"	"2010"	2.1	13
"AEG43"	"2010"	1.58	15
"AEG44"	"2010"	1.95	16
"AEG45"	"2010"	1.4	14
"AEG46"	"2010"	1.48	15
"AEG47"	"2010"	0.72	7
"AEG48"	"2010"	0.67	6
"AEG49"	"2010"	0.94	13
"AEG50"	"2010"	2.7	12
"HEG01"	"2010"	2.49	8
"HEG02"	"2010"	2.67	5
"HEG03"	"2010"	2.67	7
"HEG04"	"2010"	2.15	10
"HEG05"	"2010"	2.57	9
"HEG06"	"2010"	2.34	14
"HEG07"	"2010"	0.52	13
"HEG08"	"2010"	0.52	15
"HEG09"	"2010"	0.67	16
"HEG10"	"2010"	2.55	15
"HEG11"	"2010"	2.49	15
"HEG12"	"2010"	3.12	10
"HEG13"	"2010"	1.5	12
"HEG14"	"2010"	2.32	15
"HEG15"	"2010"	1.84	15
"HEG16"	"2010"	1.11	15
"HEG17"	"2010"	0.69	17
"HEG18"	"2010"	0.73	12
"HEG19"	"2010"	0.69	16
"HEG20"	"2010"	0.62	14
"HEG21"	"2010"	0.55	14
"HEG22"	"2010"	1.45	12
"HEG23"	"2010"	1.2	14
"HEG24"	"2010"	1.34	14
"HEG25"	"2010"	1.58	15
"HEG26"	"2010"	1.4	11
"HEG27"	"2010"	1.63	15
"HEG28"	"2010"	1.8	13
"HEG29"	"2010"	1.8	13
"HEG30"	"2010"	2.21	10
"HEG31"	"2010"	2.27	14
"HEG32"	"2010"	1.96	8
"HEG33"	"2010"	2.08	13
"HEG34"	"2010"	2.34	11
"HEG35"	"2010"	2.34	13
"HEG36"	"2010"	2.06	13
"HEG37"	"2010"	2.13	10
"HEG38"	"2010"	1.54	15
"HEG39"	"2010"	1.11	15
"HEG40"	"2010"	1.85	13
"HEG41"	"2010"	0.62	13
"HEG42"	"2010"	0.69	17
"HEG43"	"2010"	1.32	17
"HEG44"	"2010"	0.68	12
"HEG45"	"2010"	0.76	17
"HEG46"	"2010"	0.78	10
"HEG47"	"2010"	1.73	13
"HEG48"	"2010"	1.61	13
"HEG49"	"2010"	1.44	15
"HEG50"	"2010"	1.08	13
"SEG01"	"2010"	2.08	11
"SEG02"	"2010"	1.75	8
"SEG03"	"2010"	1.83	9
"SEG04"	"2010"	0.99	7
"SEG05"	"2010"	1.4	6
"SEG06"	"2010"	1.76	9
"SEG07"	"2010"	1.88	8
"SEG08"	"2010"	0.99	7
"SEG09"	"2010"	1.11	11
"SEG10"	"2010"	1.83	5
"SEG11"	"2010"	1.83	13
"SEG12"	"2010"	2.08	9
"SEG13"	"2010"	1.4	16
